autowalk want=1 now=(428,349) orig=(537,427) side=2 target=428 ms=0 wrote=1
autowalk want=1 now=(428,363) orig=(537,427) side=2 target=428 ms=0 wrote=1
autowalk want=1 now=(428,378) orig=(537,427) side=2 target=428 ms=0 wrote=1
autowalk want=1 now=(428,393) orig=(537,427) side=2 target=428 ms=0 wrote=1
autowalk want=1 now=(428,408) orig=(537,427) side=2 target=428 ms=0 wrote=1
autowalk want=1 now=(428,418) orig=(537,427) side=2 target=428 ms=0 wrote=1
autowalk want=1 now=(428,418) orig=(537,427) side=1 target=443 ms=1 wrote=1
autowalk want=1 now=(430,420) orig=(537,427) side=1 target=445 ms=0 wrote=1
autowalk want=1 now=(430,420) orig=(537,427) side=2 target=430 ms=0 wrote=1
autowalk want=1 now=(430,420) orig=(537,427) side=6 target=430 ms=0 wrote=1
autowalk want=1 now=(430,405) orig=(537,427) side=6 target=430 ms=0 wrote=1
autowalk want=1 now=(430,390) orig=(537,427) side=6 target=430 ms=0 wrote=1
autowalk want=1 now=(430,375) orig=(537,427) side=6 target=430 ms=0 wrote=1
autowalk want=1 now=(430,360) orig=(537,427) side=6 target=430 ms=0 wrote=1
autowalk want=1 now=(431,348) orig=(537,427) side=6 target=431 ms=0 wrote=1
autowalk want=1 now=(431,348) orig=(537,427) side=7 target=446 ms=0 wrote=1
autowalk want=1 now=(446,333) orig=(537,427) side=7 target=461 ms=0 wrote=1
autowalk want=1 now=(461,318) orig=(537,427) side=7 target=476 ms=0 wrote=1
autowalk want=1 now=(476,303) orig=(537,427) side=7 target=491 ms=0 wrote=1
autowalk want=1 now=(479,300) orig=(537,427) side=7 target=494 ms=0 wrote=1
autowalk want=1 now=(479,300) orig=(537,427) side=4 target=464 ms=0 wrote=1
autowalk want=1 now=(464,300) orig=(537,427) side=4 target=449 ms=0 wrote=1
autowalk want=1 now=(457,304) orig=(537,427) side=4 target=442 ms=0 wrote=1
autowalk want=1 now=(457,304) orig=(537,427) side=7 target=472 ms=0 wrote=1
autowalk want=1 now=(464,299) orig=(537,427) side=7 target=479 ms=0 wrote=1
autowalk want=1 now=(464,299) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,314) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,329) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,344) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,359) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,374) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,389) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,404) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,419) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,434) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,449) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,456) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,451) orig=(537,427) side=2 target=464 ms=1 wrote=1
autowalk want=1 now=(464,466) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,466) orig=(537,427) side=7 target=479 ms=1 wrote=1
autowalk want=1 now=(464,466) orig=(537,427) side=6 target=464 ms=1 wrote=1
autowalk want=1 now=(464,451) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,436) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,421) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,406) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,397) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,398) orig=(537,427) side=6 target=464 ms=1 wrote=1
autowalk want=1 now=(464,383) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,368) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,353) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,338) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,323) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,310) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,310) orig=(537,427) side=1 target=479 ms=1 wrote=1
autowalk want=1 now=(479,325) orig=(537,427) side=1 target=494 ms=0 wrote=1
autowalk want=1 now=(494,340) orig=(537,427) side=1 target=509 ms=0 wrote=1
autowalk want=1 now=(509,355) orig=(537,427) side=1 target=524 ms=0 wrote=1
autowalk want=1 now=(524,370) orig=(537,427) side=1 target=539 ms=0 wrote=1
autowalk want=1 now=(539,385) orig=(537,427) side=1 target=554 ms=0 wrote=1
autowalk want=1 now=(553,399) orig=(537,427) side=1 target=568 ms=0 wrote=1
autowalk want=1 now=(553,399) orig=(537,427) side=5 target=538 ms=1 wrote=1
autowalk want=1 now=(538,384) orig=(537,427) side=5 target=523 ms=0 wrote=1
autowalk want=1 now=(523,369) orig=(537,427) side=5 target=508 ms=0 wrote=1
autowalk want=1 now=(508,354) orig=(537,427) side=5 target=493 ms=0 wrote=1
autowalk want=1 now=(501,347) orig=(537,427) side=5 target=486 ms=0 wrote=1
autowalk want=1 now=(501,347) orig=(537,427) side=2 target=501 ms=1 wrote=1
autowalk want=1 now=(501,362) orig=(537,427) side=2 target=501 ms=0 wrote=1
autowalk want=1 now=(501,377) orig=(537,427) side=2 target=501 ms=0 wrote=1
autowalk want=1 now=(501,392) orig=(537,427) side=2 target=501 ms=0 wrote=1
autowalk want=1 now=(501,407) orig=(537,427) side=2 target=501 ms=0 wrote=1
autowalk want=1 now=(501,407) orig=(537,427) side=6 target=501 ms=1 wrote=1
autowalk want=1 now=(501,403) orig=(537,427) side=6 target=501 ms=0 wrote=1
autowalk want=1 now=(501,388) orig=(537,427) side=6 target=501 ms=0 wrote=1
autowalk want=1 now=(501,373) orig=(537,427) side=6 target=501 ms=0 wrote=1
autowalk want=1 now=(501,358) orig=(537,427) side=6 target=501 ms=0 wrote=1
autowalk want=1 now=(501,343) orig=(537,427) side=6 target=501 ms=0 wrote=1
autowalk want=1 now=(501,328) orig=(537,427) side=6 target=501 ms=0 wrote=1
autowalk want=1 now=(500,322) orig=(537,427) side=6 target=500 ms=0 wrote=1
autowalk want=1 now=(500,322) orig=(537,427) side=1 target=515 ms=0 wrote=1
autowalk want=1 now=(515,337) orig=(537,427) side=1 target=530 ms=0 wrote=1
autowalk want=1 now=(517,340) orig=(537,427) side=1 target=532 ms=0 wrote=1
autowalk want=1 now=(517,340) orig=(537,427) side=0 target=532 ms=1 wrote=1
autowalk want=1 now=(517,340) orig=(537,427) side=4 target=502 ms=0 wrote=1
autowalk want=1 now=(505,340) orig=(537,427) side=4 target=490 ms=0 wrote=1
autowalk want=1 now=(507,340) orig=(537,427) side=4 target=492 ms=1 wrote=1
autowalk want=1 now=(492,340) orig=(537,427) side=4 target=477 ms=0 wrote=1
autowalk want=1 now=(477,340) orig=(537,427) side=4 target=462 ms=0 wrote=1
autowalk want=1 now=(462,340) orig=(537,427) side=4 target=447 ms=0 wrote=1
autowalk want=1 now=(462,340) orig=(537,427) side=7 target=477 ms=1 wrote=1
autowalk want=1 now=(475,327) orig=(537,427) side=7 target=490 ms=0 wrote=1
autowalk want=1 now=(490,312) orig=(537,427) side=7 target=505 ms=0 wrote=1
autowalk want=1 now=(493,310) orig=(537,427) side=7 target=508 ms=0 wrote=1
autowalk want=1 now=(493,310) orig=(537,427) side=0 target=508 ms=0 wrote=1
autowalk want=1 now=(494,311) orig=(537,427) side=0 target=509 ms=0 wrote=1
autowalk want=1 now=(494,311) orig=(537,427) side=7 target=509 ms=0 wrote=1
autowalk want=1 now=(494,311) orig=(537,427) side=4 target=479 ms=0 wrote=1
autowalk want=1 now=(479,311) orig=(537,427) side=4 target=464 ms=0 wrote=1
autowalk want=1 now=(464,311) orig=(537,427) side=4 target=449 ms=0 wrote=1
autowalk want=1 now=(449,311) orig=(537,427) side=4 target=434 ms=0 wrote=1
autowalk want=1 now=(441,311) orig=(537,427) side=4 target=426 ms=0 wrote=1
autowalk want=1 now=(441,311) orig=(537,427) side=0 target=456 ms=1 wrote=1
autowalk want=1 now=(456,311) orig=(537,427) side=0 target=471 ms=0 wrote=1
autowalk want=1 now=(465,311) orig=(537,427) side=0 target=480 ms=0 wrote=1
autowalk want=1 now=(465,311) orig=(537,427) side=3 target=450 ms=1 wrote=1
autowalk want=1 now=(450,325) orig=(537,427) side=3 target=435 ms=0 wrote=1
autowalk want=1 now=(455,321) orig=(537,427) side=3 target=440 ms=1 wrote=1
autowalk want=1 now=(455,321) orig=(537,427) side=4 target=440 ms=1 wrote=1
autowalk want=1 now=(446,321) orig=(537,427) side=4 target=431 ms=0 wrote=1
autowalk want=1 now=(449,321) orig=(537,427) side=4 target=434 ms=1 wrote=1
autowalk want=1 now=(449,321) orig=(537,427) side=1 target=464 ms=1 wrote=1
autowalk want=1 now=(464,336) orig=(537,427) side=1 target=479 ms=0 wrote=1
autowalk want=1 now=(479,351) orig=(537,427) side=1 target=494 ms=0 wrote=1
