fastenc(sendmsg) ENABLED hwnd=00550512 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1438 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1455 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1472 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1489 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1506 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1523 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1539 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1555 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1572 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1588 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1604 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1621 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1638 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1655 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1672 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1689 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1706 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1723 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1740 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1757 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1773 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1790 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1807 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1824 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1841 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1858 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1875 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1892 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1909 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1926 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1943 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1960 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1976 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1993 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=2010 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=2027 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=2043 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=2060 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=2077 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=2094 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
