fastenc(sendmsg) ENABLED hwnd=0032058A (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=2057 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2074 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2091 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2108 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2125 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2142 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2159 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2176 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2193 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2210 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2227 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2244 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2261 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2278 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2295 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2312 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2329 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2346 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2362 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2379 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2396 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2412 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2429 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2446 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2463 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2480 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2496 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2513 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2530 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2547 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2563 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2580 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2597 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2613 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2630 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2647 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2664 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2681 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2698 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2715 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2732 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2749 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2766 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2783 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2799 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2816 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2833 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2849 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2866 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2883 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2900 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2917 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2934 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2950 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2967 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=2984 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3001 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3017 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3034 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3051 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3068 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3085 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=3102 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
