fastenc(sendmsg) ENABLED hwnd=005B0528 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1540 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1557 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1574 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1591 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1608 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1625 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1641 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1658 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1674 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1691 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1707 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1724 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1741 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1758 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1774 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1791 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1808 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1825 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1842 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1859 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1875 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1892 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1909 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1926 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
