autowalk want=0 now=(528,360) orig=(492,343) side=6 target=0 ms=0 wrote=0
autowalk want=1 now=(485,352) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,347) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,342) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,337) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,332) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,327) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,322) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,317) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,312) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,307) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,302) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,297) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,292) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,287) orig=(485,352) side=6 target=485 ms=0 wrote=1
autowalk want=0 now=(485,282) orig=(485,352) side=6 target=0 ms=0 wrote=0
autowalk want=1 now=(485,282) orig=(485,282) side=6 target=485 ms=0 wrote=1
autowalk want=0 now=(485,277) orig=(485,282) side=6 target=0 ms=0 wrote=0
autowalk want=1 now=(485,277) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,272) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,267) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,262) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,257) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,252) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,247) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,242) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,237) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,232) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,227) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(485,223) orig=(485,277) side=6 target=485 ms=0 wrote=1
autowalk want=1 now=(486,222) orig=(485,277) side=6 target=486 ms=0 wrote=1
autowalk want=1 now=(486,222) orig=(485,277) side=1 target=491 ms=0 wrote=1
