fastenc(sendmsg) ENABLED hwnd=004D04FA (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=382 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=398 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=415 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=431 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=448 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=465 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=482 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=499 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=516 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=532 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=549 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=566 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=583 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=599 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=616 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=633 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=650 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=667 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=684 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=701 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=718 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=734 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=751 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=768 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=785 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=802 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=818 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=835 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=852 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=869 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=886 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=903 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=919 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=936 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=953 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=970 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=987 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1004 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1020 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1037 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1054 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1071 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1088 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1105 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1121 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1138 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1155 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1172 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1188 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=1205 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
