fastenc(sendmsg) ENABLED hwnd=002602D8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=403 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=420 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=437 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=454 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=471 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=488 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=504 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=521 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=538 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=554 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=571 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=588 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=604 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=621 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=638 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=655 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=672 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=688 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=705 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=722 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=739 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=755 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=772 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=788 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=805 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=822 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=839 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=856 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=873 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=890 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=907 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=924 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=941 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=958 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=975 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=992 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1009 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1026 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1043 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1060 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1077 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=1094 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
