fastenc(sendmsg) ENABLED hwnd=004402EE (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1183 smto=1 res=0 battling=0 pos=(247,651) (1/tick)
fastenc(sendmsg) sent cnt=1189 smto=1 res=0 battling=0 pos=(247,651) (1/tick)
fastenc(sendmsg) sent cnt=1206 smto=1 res=0 battling=0 pos=(247,651) (1/tick)
fastenc(sendmsg) sent cnt=1212 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1228 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1245 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1262 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1279 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1296 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1312 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1329 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1346 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1363 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=1379 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) ENABLED hwnd=00620522 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=1 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=13 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=29 smto=1 res=0 battling=0 pos=(246,651) (1/tick)
fastenc(sendmsg) sent cnt=46 smto=1 res=0 battling=0 pos=(245,651) (1/tick)
fastenc(sendmsg) sent cnt=62 smto=1 res=0 battling=0 pos=(245,651) (1/tick)
fastenc(sendmsg) sent cnt=77 smto=1 res=0 battling=0 pos=(244,651) (1/tick)
fastenc(sendmsg) sent cnt=84 smto=1 res=0 battling=0 pos=(244,651) (1/tick)
fastenc(sendmsg) sent cnt=90 smto=1 res=0 battling=0 pos=(244,651) (1/tick)
fastenc(sendmsg) sent cnt=106 smto=1 res=0 battling=0 pos=(244,651) (1/tick)
fastenc(sendmsg) sent cnt=121 smto=1 res=0 battling=0 pos=(244,651) (1/tick)
fastenc(sendmsg) sent cnt=138 smto=1 res=0 battling=0 pos=(244,651) (1/tick)
