fastenc(sendmsg) ENABLED hwnd=004C04FE (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=636 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=652 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=669 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=686 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=703 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=720 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=737 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=753 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=770 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=787 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=804 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=821 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=837 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=854 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=871 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=888 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=905 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=922 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=939 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=955 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=972 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=989 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1006 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1023 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1040 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1056 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1073 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1089 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1106 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1122 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1139 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1156 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1173 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1189 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1206 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1223 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1240 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1257 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1274 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1291 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1308 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1325 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1341 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1358 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1375 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1392 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1408 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1425 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1442 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1459 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1476 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1493 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1509 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1526 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1543 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1560 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1576 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1593 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1610 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1627 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1643 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1660 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=1677 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
